StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,MatchedBaseAcceptedErrors,MatchedBaseFalseNegatives,ErrorDifferenceVsMatchedBase,FalseNegativeDifferenceVsMatchedBase,StrictImprovementAtMatchedAcceptedCount,BaseMaxCoverageAtSameErrorConstraint,KNNMaxCoverageAtSameErrorConstraint,StrictHigherCoverageAtSameErrorConstraint,AnyStrictKNNImprovement
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,2.1284394988275337,,99.484536082474222,False,True,120,72,48,0.59999999999999998,60,0.40000000000000002,40,2,0.027777777777777776,0.97222222222222221,0.98333333333333328,0.91666666666666663,0.94999999999999996,59,11,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,2,1,0,0,False,0.60833333333333328,0.72499999999999998,True,True
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,2.0679146061648486,,98.453608247422679,False,True,120,72,48,0.59999999999999998,60,0.40000000000000002,40,1,0.013888888888888888,0.98611111111111116,0.98305084745762716,1,0.99152542372881358,58,13,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,2,1,1,0,True,0.57499999999999996,0.75,True,True
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,1.9866783804094184,0.3184758880922276,100,True,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,1,0.013888888888888888,0.98611111111111116,0.98305084745762716,1,0.99152542372881358,58,13,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,1,1,0,0,False,0.7416666666666667,0.7416666666666667,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,2.0679146061648486,0.33322164747457844,100,True,False,120,72,48,0.59999999999999998,60,0.40000000000000002,40,1,0.013888888888888888,0.98611111111111116,0.98305084745762716,1,0.99152542372881358,58,13,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,60,72,0,1,1,0,0,False,0.75,0.75,False,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,1.7864629547709412,,,False,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,3,0.035714285714285712,0.9642857142857143,0.97014925373134331,0.94117647058823528,0.95566286215978935,65,16,1,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,1.7292572105420478,,,False,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,2,0.023809523809523808,0.97619047619047616,0.98461538461538467,0.94736842105263153,0.96599190283400804,64,18,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,,,,,False,,,False,False
c_view_sd,C + ViewSD,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,10,1.2172114485182921,0.31222281576648309,,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,0.98809523809523814,0.9838709677419355,1,0.99193548387096775,61,22,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,,,,,False,,,False,False
c_agreement_view_sd,C + Agreement + ViewSD,3,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold,True,True,False,10,1.5050770738603521,0.33322164747457844,,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,0.98809523809523814,0.98412698412698407,1,0.99206349206349209,62,21,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,,,,,False,,,False,False
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,1.6859737917447295,,98.453608247422679,False,True,120,84,36,0.69999999999999996,70,0.29999999999999999,30,2,0.023809523809523808,0.97619047619047616,0.96875,1,0.984375,62,20,0,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,3,2,1,0,True,0.60833333333333328,0.72499999999999998,True,True
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,1.6118236613357837,,98.453608247422679,False,True,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,0.98809523809523814,0.98412698412698407,1,0.99206349206349209,62,21,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,2,1,1,0,True,0.57499999999999996,0.75,True,True
