AcceptedErrorCountBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,HighestCoverageWinner,HighestCoverageStrategies
8,confidence_only,Confidence only,109,0.90833333333333333,90.833333333333329,8,0.073394495412844041,5,0.50927913018746063,,,False,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality
8,confidence_model_agreement,Confidence + model agreement,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,,,True,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality
8,confidence_view_sd,Confidence + view SD,112,0.93333333333333335,93.333333333333329,8,0.071428571428571425,5,0.24169623520724892,0.40762878674145997,,True,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality
8,full_reliability,Confidence + agreement + view SD + feature typicality,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,0.42641146551730086,98.360655737704917,True,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality
9,confidence_only,Confidence only,114,0.94999999999999996,95,9,0.078947368421052627,6,0.24169623520724892,,,False,Confidence + view SD
9,confidence_model_agreement,Confidence + model agreement,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,,,False,Confidence + view SD
9,confidence_view_sd,Confidence + view SD,118,0.98333333333333328,98.333333333333329,9,0.076271186440677971,6,0.0021789637962887909,0.40762878674145997,,True,Confidence + view SD
9,full_reliability,Confidence + agreement + view SD + feature typicality,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,0.42641146551730086,98.360655737704917,False,Confidence + view SD
10,confidence_only,Confidence only,120,1,100,10,0.083333333333333329,7,0.0021789637962887909,,,True,Confidence only; Confidence + view SD
10,confidence_model_agreement,Confidence + model agreement,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,,,False,Confidence only; Confidence + view SD
10,confidence_view_sd,Confidence + view SD,120,1,100,10,0.083333333333333329,7,0.0021789637962887909,0.42641146551730086,,True,Confidence only; Confidence + view SD
10,full_reliability,Confidence + agreement + view SD + feature typicality,112,0.93333333333333335,93.333333333333329,6,0.053571428571428568,4,0.0021789637962887909,0.42641146551730086,98.360655737704917,False,Confidence only; Confidence + view SD
