StrategyID,Strategy,StrategyComplexity,RequestedStrategy,AcceptanceRule,RequireModelAgreement,UseViewSD,UseFeatureTypicality,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,ViewSDGateActive,FeatureGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedErrorPercent,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,FalseNegativesAmongAccepted,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,2.2084707824028404,,,False,False,120,69,51,0.57499999999999996,57.5,0.42499999999999999,42.5,0,0,0,1,1,1,1,0,60,9,0,0
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,2.1838475205583059,,,False,False,120,70,50,0.58333333333333337,58.333333333333336,0.41666666666666669,41.666666666666664,1,0.014285714285714285,1.4285714285714286,0.98571428571428577,1,0.90000000000000002,0.94999999999999996,0,60,9,1,0
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,2.1284394988275337,,,False,False,120,73,47,0.60833333333333328,60.833333333333336,0.39166666666666666,39.166666666666664,2,0.027397260273972601,2.7397260273972601,0.9726027397260274,0.98360655737704916,0.91666666666666663,0.95013661202185795,1,60,11,1,1
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,1.5274385258338825,,,False,False,120,91,29,0.7583333333333333,75.833333333333329,0.24166666666666667,24.166666666666668,3,0.032967032967032968,3.2967032967032965,0.96703296703296704,0.97101449275362317,0.95454545454545459,0.96277997364953882,2,67,21,1,2
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.83179976063869354,,,False,False,120,99,21,0.82499999999999996,82.5,0.17499999999999999,17.5,4,0.040404040404040407,4.0404040404040407,0.95959595959595956,0.95945945945945943,0.95999999999999996,0.9597297297297297,3,71,24,1,3
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.73695406291178678,,,False,False,120,102,18,0.84999999999999998,85,0.14999999999999999,15,5,0.049019607843137254,4.9019607843137258,0.9509803921568627,0.96052631578947367,0.92307692307692313,0.9418016194331984,3,73,24,2,3
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.58934120281005065,,,False,False,120,105,15,0.875,87.5,0.125,12.5,6,0.057142857142857141,5.7142857142857144,0.94285714285714284,0.94936708860759489,0.92307692307692313,0.93622200584225901,4,75,24,2,4
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.58038266594430166,,,False,False,120,106,14,0.8833333333333333,88.333333333333329,0.11666666666666667,11.666666666666666,7,0.066037735849056603,6.6037735849056602,0.93396226415094341,0.94936708860759489,0.88888888888888884,0.91912798874824186,4,75,24,3,4
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.50927913018746063,,,False,False,120,109,11,0.90833333333333333,90.833333333333329,0.09166666666666666,9.1666666666666661,8,0.073394495412844041,7.3394495412844041,0.92660550458715596,0.93902439024390238,0.88888888888888884,0.91395663956639561,5,77,24,3,5
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.24169623520724892,,,False,False,120,114,6,0.94999999999999996,95,0.050000000000000003,5,9,0.078947368421052627,7.8947368421052628,0.92105263157894735,0.92941176470588238,0.89655172413793105,0.91298174442190672,6,79,26,3,6
