Class,Mean,StandardDeviation,Median,Percentile90,Percentile95,Percentile97_5,Maximum
Normal,0.020765076337302384,0.0071375809225450639,0.019398558218318152,0.029930758507260125,0.034561110915274473,0.042641734610654292,0.047702879398423326
Abnormal,0.042388229193872411,0.021902804536578047,0.036436506492232401,0.056490875922427228,0.075979891870276151,0.13075956736176306,0.1490663841022144
