Metric,PerImageBaseline,MultiViewFeatureMax,Difference
AUROC,0.9595170454545454,0.9566761363636364,-0.0028409090909090606
BalancedAccuracy,0.9133522727272728,0.9133522727272727,-1.1102230246251565e-16
Sensitivity,0.9204545454545454,0.9204545454545454,0.0
Specificity,0.90625,0.90625,0.0
F1,0.9418604651162792,0.9418604651162791,-1.1102230246251565e-16
Accuracy,0.9166666666666666,0.9166666666666666,0.0
