Signal,PrimaryConfidenceMargin,Day3StdViewProbability,Day3ViewProbabilityRange,PredictedClassReferencePercentile
PrimaryConfidenceMargin,1,-0.70459754149593723,-0.71156330300715331,-0.70415674183131305
Day3StdViewProbability,-0.70459754149593723,1,0.9948468643655809,0.69177714026373849
Day3ViewProbabilityRange,-0.71156330300715331,0.9948468643655809,1,0.68507644632149156
PredictedClassReferencePercentile,-0.70415674183131305,0.69177714026373849,0.68507644632149156,1
