StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,ParetoFrontier
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.4849939806468431,,,False,False,120,19,101,0.15833333333333333,15.833333333333334,0.84166666666666667,84.166666666666671,0,0,1,1,,,19,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.4079531812667412,,,False,False,120,20,100,0.16666666666666666,16.666666666666668,0.83333333333333337,83.333333333333329,0,0,1,1,,,20,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.3785563042948645,,,False,False,120,21,99,0.17499999999999999,17.5,0.82499999999999996,82.5,0,0,1,1,,,21,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.3571859882912509,,,False,False,120,22,98,0.18333333333333332,18.333333333333332,0.81666666666666665,81.666666666666671,0,0,1,1,,,22,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.2406772398779573,,,False,False,120,23,97,0.19166666666666668,19.166666666666668,0.80833333333333335,80.833333333333329,0,0,1,1,,,23,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.1956574951494776,,,False,False,120,24,96,0.20000000000000001,20,0.80000000000000004,80,0,0,1,1,,,24,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.1680954394426184,,,False,False,120,25,95,0.20833333333333334,20.833333333333332,0.79166666666666663,79.166666666666671,0,0,1,1,,,25,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.1380611437872421,,,False,False,120,26,94,0.21666666666666667,21.666666666666668,0.78333333333333333,78.333333333333329,0,0,1,1,,,26,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.084223529810421,,,False,False,120,27,93,0.22500000000000001,22.5,0.77500000000000002,77.5,0,0,1,1,,,27,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.0706383787726086,,,False,False,120,28,92,0.23333333333333334,23.333333333333332,0.76666666666666672,76.666666666666671,0,0,1,1,,,28,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
