Group,Metric,Value
FULL DATASET,TotalImages,16206
UNKNOWN,TotalImages,398
UNKNOWN,A_SCAN_ONLY_CANDIDATE,325
UNKNOWN,B_SCAN_ONLY_CANDIDATE,5
UNKNOWN,COMBINED_A_B_CANDIDATE,68
UNKNOWN,UNCERTAIN,0
OD_OS,TotalImages,15808
OD_OS,WaveformDetected,15540
OD_OS,WaveformNotDetected,268
OD_OS,BscanOnlyCandidates,267
OD_OS,Uncertain,2
