Check,Status,Observed,Expected,Severity,DataScope,TestStatus
existing selected k is 10,PASS,[10],[10],HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
existing centroid percentile reproduces reliability,PASS,0.0,0.0,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal correctly classified reference count,PASS,388,388,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal residuals orthogonal to classifier direction,PASS,1.970645868709653e-15,<= 1e-10,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal PCA uses 32 whitened components,PASS,32,32,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal PCA coordinates finite,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Abnormal LOO 10-NN distances finite,PASS,"min=3.645501334580589, max=9.308584681504035",finite and >0,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal correctly classified reference count,PASS,121,121,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal residuals orthogonal to classifier direction,PASS,8.326672684688674e-16,<= 1e-10,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal PCA uses 32 whitened components,PASS,32,32,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal PCA coordinates finite,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Normal LOO 10-NN distances finite,PASS,"min=4.799394263607167, max=8.975996208408475",finite and >0,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
validation residual-PCA distances finite,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
"validation residual-PCA percentiles in [0,100]",PASS,"min=0.0, max=92.78350515463917","[0,100]",HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
validation contains the locked 10 Day-4 errors,PASS,10,10,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen routing artifact status,PASS,FROZEN,FROZEN,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule exists,PASS,"['balanced_agreement_view_sd', 'conservative_zero_error']",contains balanced_agreement_view_sd,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule has no feature gate,PASS,,,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule accepted count reproduces,PASS,90,90,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule error count reproduces,PASS,1,1,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule FN reproduces,PASS,1,1,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen balanced rule has exactly one accepted error,PASS,1,1,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
exactly one additional routing gate evaluated,PASS,"rows=2, additional=1",2 rows: frozen baseline plus exactly 1 follow-up,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
all locked inputs unchanged during analysis,PASS,all compared,all pinned SHA-256 unchanged,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
loaded input set equals fixed allowlist,PASS,7,7,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
no loaded input path names a test artifact,PASS,"['best_model.pt', 'feature_distribution_comparison.csv', 'feature_distribution_metadata.json', 'frozen_routing_rules.json', 'train_eye_embeddings.csv', 'val_eye_embeddings.csv', 'val_reliability_signals.csv']",no test-named inputs,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
no model retraining or image inference performed,PASS,True,True,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
frozen routing artifact not modified,PASS,d042f0032068e0528a64122cc5fde967fe3d7240db95be7606ac3b7390c0ced3,d042f0032068e0528a64122cc5fde967fe3d7240db95be7606ac3b7390c0ced3,HARD FAIL,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
