Analysis,ConfidenceThreshold,ModelAgreementRequired,ViewSDThreshold,ResidualPCAPercentileGateUsed,ResidualPCAPercentileComparator,ResidualPCAPercentileThreshold,TotalEyes,AcceptedEyes,DeferredEyes,Coverage,ReviewRate,AcceptedCorrect,AcceptedErrors,AcceptedErrorRate,AcceptedTP,AcceptedTN,AcceptedFP,AcceptedFN,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedF1,AdditionalDeferredVsFrozen,ErrorsRemovedVsFrozen,FNRemovedVsFrozen,FPRemovedVsFrozen,DataScope,TestStatus
Frozen balanced rule,0.83179976063869354,True,0.33322164747457844,False,<=,,120,90,30,0.75,0.25,89,1,0.011111111111111112,65,24,0,1,0.98484848484848486,1,0.99242424242424243,0.99236641221374045,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Frozen balanced rule + defer ResidualPCA percentile >95,0.83179976063869354,True,0.33322164747457844,True,<=,95,120,90,30,0.75,0.25,89,1,0.011111111111111112,65,24,0,1,0.98484848484848486,1,0.99242424242424243,0.99236641221374045,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
