PredictionGroup,Count,PrimaryConfidenceMarginMean,PrimaryConfidenceMarginMedian,PrimaryConfidenceMarginPopulationStandardDeviation,Day3StdViewProbabilityMean,Day3StdViewProbabilityMedian,Day3StdViewProbabilityPopulationStandardDeviation,Day3ViewProbabilityRangeMean,Day3ViewProbabilityRangeMedian,Day3ViewProbabilityRangePopulationStandardDeviation,PredictedClassReferencePercentileMean,PredictedClassReferencePercentileMedian,PredictedClassReferencePercentilePopulationStandardDeviation,ModelDisagreementCount,ModelDisagreementPercent
Overall,120,3.1308753101004188,2.741370208921476,2.0016907096710361,0.12999247832588579,0.060721699756903509,0.13466139509906599,0.34877655091501464,0.17171209631487727,0.3517700750844685,61.618289110472659,65.214635795166473,31.308547419542233,8,6.666666666666667
Correct,110,3.3122287789251743,3.1540110869866123,1.9815663070013436,0.11838970307351483,0.04121877533951207,0.13081202957326635,0.31788752687544647,0.12405236903578043,0.34236295250417953,59.333276998478965,61.559912117627178,31.500279242425677,4,3.6363636363636362
Incorrect,10,1.1359871530281069,0.75143150901809741,0.73971237673693402,0.25762300610196603,0.30746860261457609,0.10772287648844486,0.68855581535026433,0.79375423491001129,0.26386459893395048,86.753422342403255,93.628527970255192,12.591631186765222,4,40
