AcceptedErrorRateBudget,AcceptedErrorPercentBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,HighestCoverageWinner,HighestCoverageStrategies
0.012195121951219513,1.2195121951219512,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.012195121951219513,1.2195121951219512,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.012345679012345678,1.2345679012345678,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012345679012345678,1.2345679012345678,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012345679012345678,1.2345679012345678,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.012345679012345678,1.2345679012345678,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.012500000000000001,1.25,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012500000000000001,1.25,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012500000000000001,1.25,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.012500000000000001,1.25,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.012658227848101266,1.2658227848101267,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012658227848101266,1.2658227848101267,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012658227848101266,1.2658227848101267,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.012658227848101266,1.2658227848101267,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.01282051282051282,1.2820512820512819,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.01282051282051282,1.2820512820512819,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.01282051282051282,1.2820512820512819,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.01282051282051282,1.2820512820512819,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.012987012987012988,1.2987012987012987,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012987012987012988,1.2987012987012987,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.012987012987012988,1.2987012987012987,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
