Full__AcceptedCount,Full__Coverage,Full__AcceptedErrors,Full__AcceptedErrorRate,Full__FalseNegativesAmongAccepted,Full__AcceptedBalancedAccuracy,Full__FeaturePercentileThreshold,Full__FeatureGateActive,Ablation__AcceptedCount,Ablation__Coverage,Ablation__AcceptedErrors,Ablation__AcceptedErrorRate,Ablation__FalseNegativesAmongAccepted,Ablation__AcceptedBalancedAccuracy,FeatureImprovesAcceptedErrors,FeatureImprovesFalseNegatives,AcceptedErrorDeltaFullMinusAblation,FalseNegativeDeltaFullMinusAblation
53,0.44166666666666665,0,0,0,1,98.360655737704917,False,53,0.44166666666666665,0,0,0,1,False,False,0,0
54,0.45000000000000001,0,0,0,1,98.360655737704917,False,54,0.45000000000000001,0,0,0,1,False,False,0,0
55,0.45833333333333331,0,0,0,1,98.360655737704917,False,55,0.45833333333333331,0,0,0,1,False,False,0,0
56,0.46666666666666667,0,0,0,1,98.360655737704917,False,56,0.46666666666666667,0,0,0,1,False,False,0,0
57,0.47499999999999998,0,0,0,1,98.360655737704917,False,57,0.47499999999999998,0,0,0,1,False,False,0,0
58,0.48333333333333334,0,0,0,1,98.360655737704917,False,58,0.48333333333333334,0,0,0,1,False,False,0,0
59,0.49166666666666664,0,0,0,1,98.360655737704917,False,59,0.49166666666666664,0,0,0,1,False,False,0,0
60,0.5,0,0,0,1,98.360655737704917,False,60,0.5,0,0,0,1,False,False,0,0
61,0.5083333333333333,0,0,0,1,98.360655737704917,False,61,0.5083333333333333,0,0,0,1,False,False,0,0
62,0.51666666666666672,0,0,0,1,98.360655737704917,False,62,0.51666666666666672,0,0,0,1,False,False,0,0
63,0.52500000000000002,0,0,0,1,98.360655737704917,False,63,0.52500000000000002,0,0,0,1,False,False,0,0
64,0.53333333333333333,0,0,0,1,98.360655737704917,False,64,0.53333333333333333,0,0,0,1,False,False,0,0
65,0.54166666666666663,0,0,0,1,98.360655737704917,False,65,0.54166666666666663,0,0,0,1,False,False,0,0
66,0.55000000000000004,0,0,0,1,98.360655737704917,False,66,0.55000000000000004,0,0,0,1,False,False,0,0
