StrategyID,Strategy,StrategyComplexity,RequestedStrategy,AcceptanceRule,RequireModelAgreement,UseViewSD,UseFeatureTypicality,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,ViewSDGateActive,FeatureGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedErrorPercent,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,FalseNegativesAmongAccepted,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,CandidateOperatingPointID,LowestAcceptedErrorAtTarget,FewestFalseNegativesAtTarget,SimplestPreferredAtTarget,LowestErrorStrategies,FewestFalseNegativeStrategies,PreferredStrategyAtTarget
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,1.2172114485182921,0.31222281576648309,,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,1.1904761904761905,0.98809523809523814,0.9838709677419355,1,0.99193548387096775,1,61,22,0,1,70,84,0,confidence_view_sd__coverage_070,True,True,True,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,1.5050770738603521,0.33322164747457844,98.360655737704917,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,1.1904761904761905,0.98809523809523814,0.98412698412698407,1,0.99206349206349209,1,62,21,0,1,70,84,0,full_reliability__coverage_070,True,True,False,Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + view SD; Confidence + agreement + view SD + feature typicality,Confidence + view SD
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,1.13739060061254,,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,4.166666666666667,0.95833333333333337,0.95774647887323938,0.95999999999999996,0.95887323943661973,3,68,24,1,3,80,96,0,confidence_only__coverage_080,False,False,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.83179976063869354,,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,2.0833333333333335,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,1,70,24,1,1,80,96,0,confidence_model_agreement__coverage_080,True,True,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.0021789637962887909,0.28696844019511142,,True,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,4,0.041666666666666664,4.166666666666667,0.95833333333333337,0.95588235294117652,0.9642857142857143,0.96008403361344541,3,65,27,1,3,80,96,0,confidence_view_sd__coverage_080,False,False,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.83179976063869354,0.42641146551730086,98.360655737704917,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,2.0833333333333335,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,1,70,24,1,1,80,96,0,full_reliability__coverage_080,True,True,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.5123573658874756,,,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,7.4074074074074074,0.92592592592592593,0.93827160493827155,0.88888888888888884,0.9135802469135802,5,76,24,3,5,90,108,0,confidence_only__coverage_090,False,False,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.22019142937855252,,,False,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,5.5555555555555554,0.94444444444444442,0.94999999999999996,0.9285714285714286,0.93928571428571428,4,76,26,2,4,90,108,0,confidence_model_agreement__coverage_090,True,True,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.24169623520724892,0.3519833473606262,,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,8,0.07407407407407407,7.4074074074074074,0.92592592592592593,0.93670886075949367,0.89655172413793105,0.91663029244871241,5,74,26,3,5,90,108,0,confidence_view_sd__coverage_090,False,False,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
full_reliability,Confidence + agreement + view SD + feature typicality,4,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND PredictedClassReferencePercentile <= FeaturePercentileThreshold,True,True,True,0.0021831670001128956,0.36718017390311741,98.360655737704917,True,False,120,108,12,0.90000000000000002,90,0.10000000000000001,10,6,0.055555555555555552,5.5555555555555554,0.94444444444444442,0.94871794871794868,0.93333333333333335,0.94102564102564101,4,74,28,2,4,90,108,0,full_reliability__coverage_090,True,True,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement; Confidence + agreement + view SD + feature typicality,Confidence + model agreement
